id,exp_session,test_type,result,added_at
87,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:27:36+00:00
88,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:27:49+00:00
89,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:27:50+00:00
90,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:27:50+00:00
91,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:27:50+00:00
92,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:27:50+00:00
93,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:28:00+00:00
94,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:28:01+00:00
95,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:28:01+00:00
96,2015-06-19 20:19:56+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""4"",""pretest_2"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.9"",""pretest_8"":""4"",""pretest_9"":""12"",""pretest_10"":""2"",""pretest_11"":""14.8"",""pretest_12"":""3"",""pretest_13"":""This is how wide the variation is "",""pretest_14"":""3"",""pretest_15"":""The standard deviation is the square root of the variance"",""pretest_16"":""5""}",2015-06-19 20:28:01+00:00
